		"winterblight_village"											"Деревня Winterblight"
		"DOTA_Tooltip_ability_winterblight_bone_blister_passive_Description"		"Создает ледяные взрывы вокруг заклинателя с определенным интервалом. Чем меньше здоровье заклинателя, тем ниже интервал."
		"DOTA_Tooltip_ability_winterblight_bone_blister_passive_damage"				"УРОН:"
		"DOTA_Tooltip_ability_winterblight_bone_blister_passive_ms_loss"			"ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_winterblight_bone_blister_passive_as_loss"			"ЗАМЕДЛЕНИЕ СКОРОСТИ АТАКИ:"
	
		"DOTA_Tooltip_ability_winterblight_astral_weapon"							"Astral Weapon"
		"DOTA_Tooltip_ability_winterblight_astral_weapon_Description"				"Атаки наносят дополнительный чистый урон в зависимости от максимального здоровья цели."
		"DOTA_Tooltip_ability_winterblight_astral_weapon_damage_pct_target_max_health"	"% УРОН ОТ МАКС. ЗДОРОВЬЯ:"

		"DOTA_Tooltip_ability_winterblight_star_eater_passive"						"Satellite Beacon"
		"DOTA_Tooltip_ability_winterblight_star_eater_passive_Description"			"Точный лазер перемещается вокруг заклинателя. Лазер перемещается кнутри и кнаружи, в зависимости от позиции ближайших врагов."
		"DOTA_Tooltip_ability_winterblight_star_eater_passive_damage"				"УРОН:"

		"DOTA_Tooltip_ability_winterblight_galaxy_knight_passive"					"Exo-Eidolon"
		"DOTA_Tooltip_ability_winterblight_galaxy_knight_passive_Description"		"Любой полученный урон возвращается и замораживает атакующего."
		"DOTA_Tooltip_ability_winterblight_galaxy_knight_passive_damage"			"УРОН:"
		"DOTA_Tooltip_ability_winterblight_galaxy_knight_passive_damage_freeze_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМОРОЗКИ:"

		"DOTA_Tooltip_modifier_galaxy_knight_freeze"								"Exo-Eidolon"
		"DOTA_Tooltip_modifier_galaxy_knight_freeze_Description"					"Заморожен"

		"DOTA_Tooltip_ability_ellipsis_wave"										"Ellipsis Wave"
		"DOTA_Tooltip_ability_ellipsis_wave_Description"							"Волна движется вперед, наносит урон и обезоруживает противников."
		"DOTA_Tooltip_ability_ellipsis_wave_damage"									"УРОН:"
		"DOTA_Tooltip_ability_ellipsis_wave_disarm_duration"						"ДЛИТЕЛЬНОСТЬ ОБЕЗОРУЖИВАНИЯ:"

		"DOTA_Tooltip_modifier_ellipsis_wave_disarm"								"Ellipsis Wave"
		"DOTA_Tooltip_modifier_ellipsis_wave_disarm_Description"					"Обезоружен"

		"DOTA_Tooltip_ability_winterblight_brain_freeze"							"Brain Freeze"
		"DOTA_Tooltip_ability_winterblight_brain_freeze_Description"				"Создает небольшую зону, внутри которой противники обезмолвлены."
		"DOTA_Tooltip_ability_winterblight_brain_freeze_duration"					"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_modifier_brain_freeze"										"Brain Freeze"
		"DOTA_Tooltip_modifier_brain_freeze_Description"							"Обезмолвлен"

		"DOTA_Tooltip_ability_winterblight_wintertide_totem_base"					"Wintertide Totem"
		"DOTA_Tooltip_ability_winterblight_wintertide_totem_base_Description"		"Создает тотем, исцеляющий союзников в радиусе. Требует 3 ударов для уничтожения."
		"DOTA_Tooltip_ability_winterblight_wintertide_totem_base_heal_percent"		"% ИСЦЕЛЕНИЕ КАЖДЫЕ 0.5 СЕК.:"
		"DOTA_Tooltip_ability_winterblight_wintertide_totem_base_duration"			"ДЛИТЕЛЬНОСТЬ ТОТЕМА:"

		"DOTA_Tooltip_ability_gigarraun_fissure"									"Gigarruan Fissue"
		"DOTA_Tooltip_ability_gigarraun_fissure_Description"						"Длинный разлом создает недвижимую стену. Противники, попавшие под удар, получат урон и оглушение."	
		"DOTA_Tooltip_ability_gigarraun_fissure_fissure_range"						"ДАЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_gigarraun_fissure_fissure_duration"					"ДЛИТЕЛЬНОСТЬ РАЗЛОМА:"
		"DOTA_Tooltip_ability_gigarraun_fissure_fissure_radius"						"РАДИУС ПОРАЖЕНИЯ:"
		"DOTA_Tooltip_ability_gigarraun_fissure_stun_duration"						"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"

		"DOTA_Tooltip_ability_tiamat_scorch_charge"									"Dragon Sweep"
		"DOTA_Tooltip_ability_tiamat_scorch_charge_Description"						"Летит к цели, оставляя за собой дорожку пламени."

		"DOTA_Tooltip_ability_tiamat_fire_breath"									"Ultima Fire"
		"DOTA_Tooltip_ability_tiamat_fire_breath_Description"						"Пламя Тиамат создает огненные лужи в целевых местах."
		"DOTA_Tooltip_ability_tiamat_fire_breath_damage"							"УРОН:"

		"DOTA_Tooltip_ability_winterblight_tiamat_frost_attack"						"Crystal Breath"
		"DOTA_Tooltip_ability_winterblight_tiamat_frost_attack_Description"			"Тиамат наносит чистый урон по области своими атаками и замедляет противников."
		"DOTA_Tooltip_ability_winterblight_tiamat_frost_attack_damage"				"УРОН:"
		"DOTA_Tooltip_ability_winterblight_tiamat_frost_attack_ms_loss"				"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"



		"winterblight_cavern"										"Winterblight Cavern"
		"winterblight_cavern_guide"									"Cavern Guide"
		"star_wb_master_title"										"Cavern Master"

		"winterblight_cavern_help1"									"Выберите регион, чтобы увидеть список испытаний. Можно выполнять одновременно только одно испытание в каждом регионе одновременно. Монстры не могут покинуть регион и не могут получать урон от внешних источников. Только игрок, начавший испытание, может наносить урон и убивать монстров."
		"winterblight_cavern_help2"									"Выберите Испытание из списка ниже. Завершение Испытания даст Фрагменты Реликвии, которые могут быть использованы для призыва босса. Фрагменты сбрасываются каждую игру. Количество для призыва босса - 10,000."
		"winterblight_cavern_help3"									"Выберите Уровень Испытания. Можно выбрать только текущий или следующий по силе от максимально пройденного уровня Вашим героем. Высокие уровни дают больше Мифрила и позволяют получить некоторые редкие предметы."
		"winterblight_cavern_help4"									"Ваши Фрагменты Реликвии могут быть использованы для вызова древних существ, которые когда-то были повелителями этих гор в прошлые эпохи."

		"winterblight_cavern_room1"									"Замороженный Зал"
		"winterblight_cavern_room2"									"Проход Авроры"
		"winterblight_cavern_room3"									"Кристариум"
		"winterblight_cavern_room4"									"Грань Зимы"

		"winterblight_cavern_boss_button_label"						"Вызов босса"
		"winterblight_cavern_boss_summary"							"Уровень @boss_name обусловлен средним уровнем зачистки для региона @chamber_name. По крайней мере 1 Испытание должно быть пройдено для вызова босса."

		"winterblight_cavern_gigarraun"								"Gigarraun"
		"winterblight_cavern_boss_tiamat"							"Тиамат"

		"winterblight_cavern_final_boss_summary"					"Уровень Тиамат обусловлен средним уровнем остальных 4 боссов. Тиамат может быть призвана только после смерти остальных 4 боссов.<br><br>Это будет последним вызовом босса и Caven Guide уйдет после начала битвы."

		"winterblight_boss_status1"									"Призван"
		"winterblight_boss_status2"									"Побежден"

		"winterblight_cavern_room1_event1"							"Стандарт"
		"winterblight_cavern_room1_event1_description"				"Регион заселен неагрессивными монстрами."

		"winterblight_cavern_room1_event2"							"Морозные Разборки"
		"winterblight_cavern_room1_event2_description"				"Множество монстров Ultra Ice патрулируют регион."

		"winterblight_cavern_room1_event3"							"Пространственные Порталы"
		"winterblight_cavern_room1_event3_description"				"Волны монстров появляются из порталов. Все монстры получают 1% регенерации здоровья за уровень Испытания, до 20% максимально."

		"winterblight_cavern_room1_event4"							"Кристальный Хаос Меркурио"
		"winterblight_cavern_room1_event4_description"				"5 Кристаллов усиляют монстров, призванных Меркурио. Повреждение кристалла отключает его на 20 секунд."

		"winterblight_cavern_room2_event1"							"Стандарт"
		"winterblight_cavern_room2_event1_description"				"Регион заселен неагрессивными монстрами."

		"winterblight_cavern_room2_event2"							"Пространственные Порталы"
		"winterblight_cavern_room2_event2_description"				"Волны монстров появляются из порталов. Все монстры имеют +10% скорости передвижения и +5 скорости атаки за уровень Испытания."

		"winterblight_cavern_room2_event3"							"Галоп Громозавров"
		"winterblight_cavern_room2_event3_description"				"Яйца Громозавров наполняют регион. Из проклюнувшихся яиц вылупятся Громозавры со случайными пассивными способностями."

		"winterblight_cavern_room2_event4"							"Ярость Гигантов"
		"winterblight_cavern_room2_event4_description"				"Гиганты Осирис, Ганнольф и Свиберн патрулируют регион."

		"winterblight_cavern_room3_event1"							"Стандарт"
		"winterblight_cavern_room3_event1_description"				"Регион заселен неагрессивными монстрами."

		"winterblight_cavern_room3_event2"							"Пространственные Порталы"
		"winterblight_cavern_room3_event2_description"				"Волны монстров появляются из порталов. Все монстры получают +10% урона атаки с каждым уровнем Испытания."

		"winterblight_cavern_room3_event3"							"Грибное Безумие"
		"winterblight_cavern_room3_event3_description"				"Безумные грибы вырастают в Кристариуме. Весь регион загрязнен спорами, нарушающими ориентацию в пространстве."

		"winterblight_cavern_room3_event4"							"Взгляд из Бездны"
		"winterblight_cavern_room3_event4_description"				"Регион наводнен существами из далекого Морского Форта. Когда умирает один монстр, другой мгновенно встает на его место."

		"winterblight_cavern_room4_event1"							"Стандарт"
		"winterblight_cavern_room4_event1_description"				"Регион заселен неагрессивными монстрами."

		"winterblight_cavern_room4_event2"							"Пространственные Порталы"
		"winterblight_cavern_room4_event2_description"				"Волны монстров появляются из порталов. Все монстры получают +100 брони и +2% уклонения за уровень Испытания."

		"winterblight_cavern_room4_event3"							"Отмщение Хролонуса"
		"winterblight_cavern_room4_event3_description"				"Сотни клонов Хролонуса возникают из глубины черных звезд. Каждые 2 уровня Испытания увеличивают количество противников на 1."

		"winterblight_cavern_room4_event4"							"Антигравитация"
		"winterblight_cavern_room4_event4_description"				"Черные дыры приносят с собой разнообразных монстров для схватки с чемпионами Рошпита. Все юниты и герои имеют 1 секунду перезарядки на всех способностях."


		"winterblight_cavern_status_prefix"								"Статус:"
		"winterblight_cavern_status_inactive"								"Неактивно"
		"winterblight_cavern_status_active"								"Активно"

		"winterblight_cavern_fragments"								"Фрагменты Реликвии:"

		"winterblight_1_stone"										"Легенда, усиление 1 ур."
		"winterblight_2_stone"										"Легенда, усиление 2 ур."
		"winterblight_3_stone"										"Легенда, усиление 3 ур."

		"winterblight_no_max"										"Без максимума"
		"winterblight_event_max_yours"								"Рекорд героя"
		"winterblight_event_max"									"Максимальный уровень"	
		"event_level_input"											"Выберите мощность "
		"start_chamber_event"										"Начать испытание в регионе"

		"cavern_record_yours_hero"									"Ваш рекорд при игре за"
		"cavern_record_yours_all"									"Ваш лучший рекорд"
		"cavern_record_global_hero"									"Глобальный рекорд за"	
		"cavern_record_global_all"									"Глобальный рекорд"
		"cavern_ui_failed"											"Провалено"		
		"cavern_ui_completed"										"Завершено"	
		"cavern_ui_no_record"										"Нет рекорда"
