
		//雪图事件

		"descent_of_winterblight_aertega"							"艾特嘎"
		"winterblight_cavern_room1_event2_description"				"密室中将会出现若干只极寒幽魂."

		"winterblight_cavern_room1_event3"							"维度之门"
		"winterblight_cavern_room1_event3_description"				"敌人的浪潮从维度之门产生。所有敌人根据事件等级获得每级1%每秒的生命回复，上限为20% ."

		"winterblight_cavern_room1_event4"							"马库里奥的水晶争夺战"
		"winterblight_cavern_room1_event4_description"				"5颗水晶将会增幅马库里奥召唤出的怪物的能力.对水晶造成伤害可使指定颜色的增幅暂时消失20秒."

		"winterblight_cavern_room2_event1"							"标准模式"
		"winterblight_cavern_room2_event1_description"				"你将与大量普通的怪物交战."

		"winterblight_cavern_room2_event2"							"维度之门"
		"winterblight_cavern_room2_event2_description"				"敌人的浪潮从维度之门产生. 所有敌人根据事件等级获得每级10% 移动速度和 5%攻击速度."

		"winterblight_cavern_room2_event3"							"剿灭雷肤兽"
		"winterblight_cavern_room2_event3_description"				"巨大的雷肤兽的蛋布满了整个密室. 蛋中孵化出的雷肤兽拥有随机且强大的被动技能."

		"winterblight_cavern_room2_event4"							"巨兽之怒"
		"winterblight_cavern_room2_event4_description"				"击败房间中的三只巨兽，奥西罗斯、古诺尔夫和斯威本."

		"winterblight_cavern_room3_event1"							"标准模式"
		"winterblight_cavern_room3_event1_description"				"你将与大量普通的怪物交战."

		"winterblight_cavern_room3_event2"							"维度之门"
		"winterblight_cavern_room3_event2_description"				"敌人的浪潮从维度之门产生. 所有敌人根据事件等级获得每级10% 的攻击力."

		"winterblight_cavern_room3_event3"							"疯狂的蘑菇"
		"winterblight_cavern_room3_event3_description"				"疯狂的蘑菇在整个水晶之地中繁殖。整个密室都被混乱的孢子污染了."

		"winterblight_cavern_room3_event4"							"深海侵袭"
		"winterblight_cavern_room3_event4_description"				"这个密室被洪水淹没，被来自遥远的失落深海要塞的生物入侵。当一个怪物死了，会立刻孵化出下一只."

		"winterblight_cavern_room4_event1"							"标准模式"
		"winterblight_cavern_room4_event1_description"				"你将与大量普通的怪物交战."

		"winterblight_cavern_room4_event2"							"维度之门"
		"winterblight_cavern_room4_event2_description"				"敌人的浪潮从维度之门产生. 所有敌人根据挑战等级获得每级100 护甲和 2% 闪避."

		"winterblight_cavern_room4_event3"							"克洛诺斯的复仇 "
		"winterblight_cavern_room4_event3_description"				"数以百计的克洛诺斯克隆体从密室的黑星中产生. 同时存在的敌人数量根据密室挑战等级提高，每2级增加1个."

		"winterblight_cavern_room4_event4"							"反重力"
		"winterblight_cavern_room4_event4_description"				"黑洞会产生各种各样的敌人，并把英雄拉向它. 所有单位和英雄的技能都只有1秒的冷却时间."


		"winterblight_cavern_status_prefix"								"状态:"
		"winterblight_cavern_status_inactive"								"未开启"
		"winterblight_cavern_status_active"								"进行中"

		"winterblight_cavern_fragments"								"遗物碎片:"

		"winterblight_1_stone"										"传说 使用1个凛冬冰川"
		"winterblight_2_stone"										"传说 使用2个凛冬冰川"
		"winterblight_3_stone"										"传说 使用3个凛冬冰川"

		"winterblight_no_max"										"无上限"
		"winterblight_event_max_yours"								"你的英雄的挑战等级"
		"winterblight_event_max"									"最大挑战等级"	
		"event_level_input"											"选择这次挑战的强度级别"
		"start_chamber_event"										"开始密室挑战"

		"cavern_record_yours_hero"									"你的最高纪录 当使用"
		"cavern_record_yours_all"									"你最高的全期纪录"
		"cavern_record_global_hero"									"全球最高纪录 当使用"	
		"cavern_record_global_all"									"全球最高纪录"
		"cavern_ui_failed"											"失败"		
		"cavern_ui_completed"										"完成"	
		"cavern_ui_no_record"										"无纪录"	
		
